GradStreet 2019,,,,,,,,
MANUAL PACKING GUIDE v1,,,,,,,,
,,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
14,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S48T00170310K01,X0022P8L71,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
15,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S48T00170310K01,X0022P8L71,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
16,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S48T00170310K01,X0022P8L71,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
16,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
17,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
18,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
19,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
20,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
21,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
22,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
23,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
24,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
25,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
26,7,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,UBC0171S48T00190000K01,X0022NEA4B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
26,18,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
27,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
28,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
29,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
30,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
31,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
32,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S48T00250190K01,X0022P8MJX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
32,23,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
33,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
34,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
35,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
36,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
37,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
