AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 006",ALL YEAR TAGS,,UBC0171F57T00060000K01,X0022P8K8B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",27
3,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 017",ALL YEAR TAGS,,UBC0171F57T00170000K01,X0022OD2XF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",28
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171F57T00170310K01,X0022OD5MD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",29
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 019",ALL YEAR TAGS,,UBC0171F57T00190000K01,X0022P8KFJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",30
3,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171F57T00250190K01,X0022Q73UB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",31
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 104",ALL YEAR TAGS,,UBC0171F57T01040000K01,X0022Q72CZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",32
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 60","Tassel, color 019",ALL YEAR TAGS,,UBC0171F60T00190000K01,X0022NED75,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",33
4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 60","Tassel, color 104",ALL YEAR TAGS,,UBC0171F60T01040000K01,X0022OD5MN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",34
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full fit, size 63","Tassel, color 104",ALL YEAR TAGS,,UBC0171F63T01040000K01,X0022OD68V,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",35
4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 006",ALL YEAR TAGS,,UBC0171S39T00060000K01,X0022R2VH5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",36
