AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
52,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S45T00250190K01,X0022OD9UL,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",113
7,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 031",ALL YEAR TAGS,,UBC0173S45T00310000K01,X0022P8OYB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",114
15,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,,UBC0173S45T01040000K01,X0022OD86V,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",115
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 111",ALL YEAR TAGS,,UBC0173S45T01110000K01,X0022Q7BOJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",116
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 002",ALL YEAR TAGS,,UBC0173S48T00020000K01,X0022Q6O2T,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",117
29,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 014",ALL YEAR TAGS,,UBC0173S48T00140000K01,X0022NEFEB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",118
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 015",ALL YEAR TAGS,,UBC0173S48T00150000K01,X0022S1UCB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",119
12,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 019",ALL YEAR TAGS,,UBC0173S48T00190000K01,X0022R1O2D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",120
83,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S48T00250190K01,X0022NEJFB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",121
11,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 031",ALL YEAR TAGS,,UBC0173S48T00310000K01,X0022NEG77,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",122
24,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,,UBC0173S48T01040000K01,X0022NEG63,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",123
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 111",ALL YEAR TAGS,,UBC0173S48T01110000K01,X0022S1UCL,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",124
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 002",ALL YEAR TAGS,,UBC0173S51T00020000K01,X0022P8J6T,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",125
30,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 014",ALL YEAR TAGS,,UBC0173S51T00140000K01,X0022NEJ8D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",126
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 015",ALL YEAR TAGS,,UBC0173S51T00150000K01,X0022S1UC1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",127
12,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,,UBC0173S51T00190000K01,X0022OD9UV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",128
87,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S51T00250190K01,X0022NEJ8N,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",129
12,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 031",ALL YEAR TAGS,,UBC0173S51T00310000K01,X0022OD7XF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",130
24,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,,UBC0173S51T01040000K01,X0022S1UCV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",131
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 111",ALL YEAR TAGS,,UBC0173S51T01110000K01,X0022ODA6J,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",132
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 002",ALL YEAR TAGS,,UBC0173S54T00020000K01,X0022NEG6N,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",133
20,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 014",ALL YEAR TAGS,,UBC0173S54T00140000K01,X0022NEG6D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",134
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 015",ALL YEAR TAGS,,UBC0173S54T00150000K01,X0022R1OOB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",135
8,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 019",ALL YEAR TAGS,,UBC0173S54T00190000K01,X0022P8LP3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",136
56,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S54T00250190K01,X0022R2KEJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",137
8,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 031",ALL YEAR TAGS,,UBC0173S54T00310000K01,X0022P8J73,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",138
16,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,,UBC0173S54T01040000K01,X0022S1UD5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",139
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 111",ALL YEAR TAGS,,UBC0173S54T01110000K01,X0022S1UBR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",140
11,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 014",ALL YEAR TAGS,,UBC0173S57T00140000K01,X0022P1EDT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",141
5,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 019",ALL YEAR TAGS,,UBC0173S57T00190000K01,X0022OD889,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",142
31,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S57T00250190K01,X0022OD7YJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",143
4,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 031",ALL YEAR TAGS,,UBC0173S57T00310000K01,X0022Q6TYH,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",144
9,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 104",ALL YEAR TAGS,,UBC0173S57T01040000K01,X0022P8LOJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",145
4,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 014",ALL YEAR TAGS,,UBC0173S60T00140000K01,X0022R1O2X,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",146
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 019",ALL YEAR TAGS,,UBC0173S60T00190000K01,X0022R1O3H,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",147
9,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S60T00250190K01,X0022NEFF5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",148
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 031",ALL YEAR TAGS,,UBC0173S60T00310000K01,X0022P8OYV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",149
3,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 104",ALL YEAR TAGS,,UBC0173S60T01040000K01,X0022Q774N,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",150
2,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 63","Tassel, color 014",ALL YEAR TAGS,,UBC0173S63T00140000K01,X0022NEG6X,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",151
5,"Bachelors Gown+Cap, Black, Matte with pleats, Standard Fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173S63T00250190K01,X0022R2XLJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",152
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F39T00250190K01,X0022R2IUZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",153
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F42T00250190K01,X0022OD0UF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",154
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F45T00250190K01,X0022NE86V,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",155
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F48T00250190K01,X0022Q6KX7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",156
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F51T00250190K01,X0022R2625,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",157
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F54T00250190K01,X0022NE8OX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",158
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F57T00250190K01,X0022OD0C3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",159
2,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F60T00250190K01,X0022Q733D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",160
1,"Masters Gown+Cap, Black, Matte NO pleats, Full fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171F63T00250190K01,X0022NE8PH,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",161
1,"Masters Gown+Cap, Black, Matte NO pleats, Standard fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S39T00250190K01,X0022P8B0X,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",162
1,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S42T00250190K01,X0022OD00F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",163
4,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S45T00250190K01,X0022P8IOH,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",164
2,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,,UMC0171S48T00170000K01,X0022Q6LBX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",165
5,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S48T00250190K01,X0022NE86L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",166
2,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,,UMC0171S51T00170000K01,X0022NE8P7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",167
5,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S51T00250190K01,X0022NE86B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",168
5,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S54T00250190K01,X0022OD005,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",169
3,"Masters Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S57T00250190K01,X0022OCZ6P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",170
1,"Masters Gown+Cap, Black, Matte NO pleats, Standard fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S60T00250190K01,X0022OD1BX,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",171
1,"Masters Gown+Cap, Black, Matte NO pleats, Standard fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UMC0171S63T00250190K01,X0022Q6LC7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",172
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F39T00250190K01,X0022R26H5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",173
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F42T00250190K01,X0022P8B1R,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",174
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F45T00250190K01,X0022P8JUP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",175
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F48T00250190K01,X0022NE93D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",176
2,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F51T00250190K01,X0022NE9M9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",177
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F54T00250190K01,X0022P8B17,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",178
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F57T00250190K01,X0022OD1I1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",179
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F60T00250190K01,X0022R2V0R,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",180
1,"Masters Gown+Cap, Black, Matte with pleats, Full fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173F63T00250190K01,X0022OD1BN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",181
1,"Masters Gown+Cap, Black, Matte with pleats, Standard fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S39T00250190K01,X0022R2UNZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",182
2,"Masters Gown+Cap, Black, Matte with pleats, Standard fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S42T00250190K01,X0022NE933,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",183
7,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,,UMC0173S45T00170000K01,X0022R2V1B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",184
4,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S45T00250190K01,X0022P8JUF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",185
11,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,,UMC0173S48T00170000K01,X0022NE9MJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",186
5,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S48T00250190K01,X0022Q6LBN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",187
10,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,,UMC0173S51T00170000K01,X0022OD1HR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",188
7,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S51T00250190K01,X0022R26GV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",189
8,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 017",ALL YEAR TAGS,,UMC0173S54T00170000K01,X0022P8JU5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",190
3,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S54T00250190K01,X0022Q6YRT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",191
4,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 017",ALL YEAR TAGS,,UMC0173S57T00170000K01,X0022Q7347,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",192
2,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S57T00250190K01,X0022Q6LBD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",193
2,"Masters Gown+Cap, Black, Matte with pleats, Standard Fit, size 60","Tassel, color 017",ALL YEAR TAGS,,UMC0173S60T00170000K01,X0022R2V11,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",194
1,"Masters Gown+Cap, Black, Matte with pleats, Standard fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UMC0173S63T00250190K01,X0022Q733X,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",195
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 39",,,,BC2194S39,n/a,Poly bag,"Brand, Suffocation",196
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 42",,,,BC2194S42,n/a,Poly bag,"Brand, Suffocation",197
7,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 45",,,,BC2194S45,n/a,Poly bag,"Brand, Suffocation",198
10,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 48",,,,BC2194S48,n/a,Poly bag,"Brand, Suffocation",199
10,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 51",,,,BC2194S51,n/a,Poly bag,"Brand, Suffocation",200
7,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 54",,,,BC2194S54,n/a,Poly bag,"Brand, Suffocation",201
4,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 57",,,,BC2194S57,n/a,Poly bag,"Brand, Suffocation",202
2,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 60",,,,BC2194S60,n/a,Poly bag,"Brand, Suffocation",203
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Standard Fit, size 63",,,,BC2194S63,n/a,Poly bag,"Brand, Suffocation",204
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 39",,,,BC2194F39,n/a,Poly bag,"Brand, Suffocation",205
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 42",,,,BC2194F42,n/a,Poly bag,"Brand, Suffocation",206
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 45",,,,BC2194F45,n/a,Poly bag,"Brand, Suffocation",207
2,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 48",,,,BC2194F48,n/a,Poly bag,"Brand, Suffocation",208
2,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 51",,,,BC2194F51,n/a,Poly bag,"Brand, Suffocation",209
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 54",,,,BC2194F54,n/a,Poly bag,"Brand, Suffocation",210
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 57",,,,BC2194F57,n/a,Poly bag,"Brand, Suffocation",211
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 60",,,,BC2194F60,n/a,Poly bag,"Brand, Suffocation",212
1,"Bachelors Gown+Cap, Purple, Shiny with pleats, Full Fit, size 63",,,,BC2194F63,n/a,Poly bag,"Brand, Suffocation",213
89,"Tassel, color 025+019",,,,T00250190,n/a,Plastic sleeve,None,214
646,"Tassel, color 019",,,,T00190000,n/a,Plastic sleeve,None,215
679,"Tassel, color 104",,,,T01040000,n/a,Plastic sleeve,None,216
131,"Tassel, color 006",,,,T00060000,n/a,Plastic sleeve,None,217
12,"Tassel, color 020",,,,T00200000,n/a,Plastic sleeve,None,218
8,"Tassel, color 220",,,,T08980000,n/a,Plastic sleeve,None,219
145,"Tassel, color 017",,,,T00170000,n/a,Plastic sleeve,None,220
60,"Tassel, color 017+031",,,,T00170310,n/a,Plastic sleeve,None,221
1770,"""2019"" Year Tag",,,,Y00002019,n/a,Plastic bag,None,222
1770,"""19"" Year Tag",,,,Y00000019,n/a,Plastic bag,None,223
1770,"""2020"" Year Tag",,,,Y00002020,n/a,Plastic bag,None,224
1770,"""20"" Year Tag",,,,Y00000020,n/a,Plastic bag,None,225
