AGGREGATE_BUNDLED v2 (all SKUs are unique),,,,,,,,
,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels
20,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S54T00170310K01,X0022OD59B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
60,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 019",ALL YEAR TAGS,,UBC0171S54T00190000K01,X0022S1TEP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
35,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S54T00250190K01,X0022S1UNZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
70,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 006",ALL YEAR TAGS,,UBC0171S57T00060000K01,X0022P8KF9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 017",ALL YEAR TAGS,,UBC0171S57T00170000K01,X0022P8KGN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S57T00170310K01,X0022NEDBB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 019",ALL YEAR TAGS,,UBC0171S57T00190000K01,X0022Q71C1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S57T00250190K01,X0022P8MI9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 104",ALL YEAR TAGS,,UBC0171S57T01040000K01,X0022NEA3H,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T00060000K01,X0022S1TDV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T00170000K01,X0022P8MJD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T00170310K01,X0022OD68L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T00190000K01,X0022P8HVV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T00250190K01,X0022OD5NH,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
0,,,,,UBC0171S60T01040000K01,X0022R26VB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
