GradStreet 2019 Manufacturing Order:,,,,,,,,
PACKING GUIDE v8,,,,,,,,
"Shaoxing Phoebee Garment Co., Ltd.",,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
5,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,UBC0171F51T00250190K01,X0022S1UOJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,UBC0171F51T00250190K01,X0022S1UOJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,15,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171F51T01040000K01,X0022OD2OT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 006",ALL YEAR TAGS,UBC0171F54T00060000K01,X0022S1UP3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 017",ALL YEAR TAGS,UBC0171F54T00170000K01,X0022OD2NZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 017",ALL YEAR TAGS,UBC0171F54T00170000K01,X0022OD2NZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 017+031",ALL YEAR TAGS,UBC0171F54T00170310K01,X0022NEDB1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 019",ALL YEAR TAGS,UBC0171F54T00190000K01,X0022NED7F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,UBC0171F54T00250190K01,X0022Q727F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171F54T01040000K01,X0022NEDC5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
