39,"4'6"" - 4'8"""
42,"4'9"" - 4'11"""
45,"5'0"" - 5'2"""
48,"5'3"" - 5'5"""
51,"5'6"" - 5'8"""
54,"5'9"" - 5'11"""
57,"6'0"" - 6'2"""
60,"6'3"" - 6'5"""
63,"6'6"" - 6'8"""
